date,equity,cash,positions
2025-08-26,999777.6575797,258636.2565797001,5
2025-08-27,980291.5683671001,6266.52636710013,7
2025-08-28,1017888.5263671002,6266.52636710013,7
2025-08-29,1021718.1705909001,1838.916590900153,8
2025-09-01,1025599.9165909002,1838.916590900153,8
2025-09-02,993221.6752880003,13006.332288000252,8
2025-09-03,966321.1706931002,8175.187693100306,8
2025-09-04,899277.2777727003,1802.2097727003747,8
2025-09-05,948285.2097727003,1802.2097727003747,8
2025-09-08,966361.2097727003,1802.2097727003747,8
2025-09-09,945711.2097727003,1802.2097727003747,8
2025-09-10,961353.2097727003,1802.2097727003747,8
2025-09-11,1014345.3013874004,1833.3503874005146,8
2025-09-12,1016223.3503874005,1833.3503874005146,8
2025-09-15,1002885.3503874005,1833.3503874005146,8
2025-09-16,1032851.2039874005,7937.203987400513,8
2025-09-17,1055096.2039874005,7937.203987400513,8
2025-09-18,1075865.4931126004,15392.577112600557,8
2025-09-19,1065537.5771126007,15392.577112600557,8
2025-09-22,1074530.5771126007,15392.577112600557,8
2025-09-23,1060864.5001591006,8917.65515910057,8
2025-09-24,1093216.3017737006,13195.683773700614,8
2025-09-25,1084570.6837737006,13195.683773700614,8
2025-09-26,1053833.6837737006,13195.683773700614,8
2025-09-29,1082465.6837737006,13195.683773700614,8
2025-09-30,1084996.6837737006,13195.683773700614,8
2025-10-09,1123871.5726897006,20584.29268970067,8
2025-10-10,1083890.0936567006,6839.983656700722,8
2025-10-13,1083826.9836567007,6839.983656700722,8
2025-10-14,1032918.2876785008,9980.693678500815,8
2025-10-15,1063770.6936785008,9980.693678500815,8
2025-10-16,1063009.6936785008,9980.693678500815,8
2025-10-17,1005181.1946679009,4574.492667900879,8
2025-10-20,1018126.7383175008,9035.570317500911,8
2025-10-21,1035639.570317501,9035.570317500911,8
2025-10-22,1018002.570317501,9035.570317500911,8
2025-10-23,1016353.570317501,9035.570317500911,8
2025-10-24,1062586.570317501,9035.570317500911,8
2025-10-27,1087714.280199501,11624.220199500924,8
2025-10-28,1083658.220199501,11624.220199500924,8
2025-10-29,1100682.2982161008,17715.020216100966,8
2025-10-30,1056813.0202161008,17715.020216100966,8
2025-10-31,1042377.2031951009,9984.133195100992,8
2025-11-03,1039252.007023101,12207.767023101012,8
2025-11-04,1036703.767023101,12207.767023101012,8
2025-11-05,1031528.767023101,12207.767023101012,8
2025-11-06,1065840.767023101,12207.767023101012,8
2025-11-07,1046725.767023101,12207.767023101012,8
2025-11-10,1039639.662163101,4742.4621631010195,8
2025-11-11,1016385.766259101,3620.0862591010264,8
2025-11-12,999943.594986301,11748.01898630106,8
2025-11-13,1010394.018986301,11748.01898630106,8
2025-11-14,984639.102975501,12267.066975501104,8
2025-11-17,993638.0537635011,13856.013763501134,8
2025-11-18,996013.0137635011,13856.013763501134,8
2025-11-19,981096.0137635011,13856.013763501134,8
2025-11-20,975249.9564781012,5252.338478101141,8
2025-11-21,937303.7526473012,20341.31664730115,8
2025-11-24,950230.3166473012,20341.31664730115,8
2025-11-25,961685.3166473012,20341.31664730115,8
2025-11-26,956353.3166473012,20341.31664730115,8
2025-11-27,945892.0601193012,7983.300119301159,8
2025-11-28,962097.1707341012,7767.886734101165,8
2025-12-01,976163.8867341012,7767.886734101165,8
2025-12-02,960766.8867341012,7767.886734101165,8
2025-12-03,956447.7054455013,7039.743445501168,8
